district,division,latitude,longitude,population_2011,literacy_rate,poverty_index,urban_population_pct,unemployment_rate,population_density
Bagalkot,Belgaum,16.1691,75.6615,1890826,66.4,30.7,38.9,6.8,1891.0
Ballari,Gulbarga,15.1394,76.9214,2532383,63.5,36.2,42.1,7.5,2532.0
Belagavi,Belgaum,15.8497,74.4977,4779661,70.1,27.4,36.8,6.3,4780.0
Bengaluru Rural,Bengaluru,13.2257,77.5737,990923,73.5,21.2,16.8,4.9,991.0
Bengaluru Urban,Bengaluru,12.9716,77.5946,9621551,88.7,9.8,91.0,3.2,9622.0
Bidar,Gulbarga,17.9104,77.5199,1700018,65.9,33.5,32.1,7.4,1700.0
Chamarajanagar,Mysuru,11.9223,76.9435,1020791,60.1,38.9,18.4,8.6,1021.0
Chikkaballapura,Bengaluru,13.4354,77.728,1254494,71.9,24.5,23.6,5.7,1254.0
Chikkamagaluru,Mysuru,13.3153,75.7754,1137573,78.9,18.3,34.1,4.1,1138.0
Chitradurga,Mysuru,14.2229,76.3984,1659456,70.9,25.6,35.2,5.9,1659.0
Dakshina Kannada,Mysuru,12.8438,75.2479,2083625,88.6,10.2,55.9,3.0,2084.0
Davanagere,Mysuru,14.4644,75.9218,1946905,74.3,22.4,40.8,5.6,1947.0
Dharwad,Belgaum,15.4589,75.0078,1847023,78.2,19.4,53.8,4.5,1847.0
Gadag,Belgaum,15.4166,75.6236,1065235,69.8,26.3,40.2,6.0,1065.0
Hassan,Mysuru,13.0068,76.1004,1776221,75.6,21.8,28.4,4.7,1776.0
Haveri,Belgaum,14.7941,75.3995,1598506,67.5,28.9,31.4,6.6,1599.0
Kalaburagi,Gulbarga,17.3297,76.8343,2564892,59.7,42.3,35.6,8.2,2565.0
Kodagu,Mysuru,12.4244,75.7382,554762,82.6,12.5,35.8,3.5,555.0
Kolar,Bengaluru,13.136,78.1294,1540231,70.6,25.9,29.8,5.8,1540.0
Koppal,Gulbarga,15.3492,76.1547,1391270,60.4,40.2,28.3,8.0,1391.0
Mandya,Mysuru,12.5218,76.8951,1808680,72.4,23.3,22.7,5.2,1809.0
Mangaluru,Mysuru,12.9141,74.856,2089649,86.2,14.3,56.4,4.0,2090.0
Mysuru,Mysuru,12.2958,76.6394,3001127,72.6,20.1,46.2,5.1,3001.0
Raichur,Gulbarga,16.212,77.3439,1924773,56.1,47.5,31.2,9.1,1925.0
Ramanagara,Bengaluru,12.7157,77.2789,1082739,72.1,23.8,21.4,5.4,1083.0
Shivamogga,Mysuru,13.9299,75.5681,1752753,79.5,17.1,43.6,4.2,1753.0
Tumakuru,Bengaluru,13.3409,77.101,2678980,74.8,23.1,32.6,5.3,2679.0
Udupi,Mysuru,13.3409,74.7421,1177908,86.2,11.8,45.3,3.3,1178.0
Uttara Kannada,Belgaum,14.7941,74.688,1437169,81.4,16.2,29.7,3.8,1437.0
Vijayapura,Gulbarga,16.8302,75.71,2175102,67.2,31.8,33.7,7.1,2175.0
Yadgir,Gulbarga,16.7668,77.1385,1172985,52.8,51.2,22.4,9.8,1173.0
