sl_no,state_ut,total_crimes_2022,total_crimes_2023,ipc_crimes_2024,bns_crimes_2024,total_crimes_2024,population_lakhs_2024,crime_rate_2024,chargesheeting_rate_2024,crime_rate_category,yoy_change_pct
2,Arunachal Pradesh,2308,2505,1316,1163,2479,15.8,156.9,53.9,Moderate,8.54
3,Assam,59315,49884,21379,18437,39816,361.6,110.1,64.1,Moderate,-15.9
4,Bihar,211079,231627,127983,110770,238753,1292.1,184.8,73.4,Moderate,9.73
5,Chhattisgarh,73822,67961,38019,34391,72410,306.4,236.3,78.5,High,-7.94
6,Goa,2711,2094,1154,967,2121,15.9,133.8,73.9,Moderate,-22.76
7,Gujarat,134600,170657,83049,82370,165419,726.5,227.7,90.2,High,26.79
8,Haryana,125435,129294,61421,51680,113101,306.9,368.5,44.3,Very High,3.08
9,Himachal Pradesh,13231,13505,6479,5592,12071,75.2,160.6,80.7,Moderate,2.07
10,Jharkhand,48726,50187,26725,20525,47250,401.3,117.7,64.8,Moderate,3.0
11,Karnataka,129461,148648,77713,61071,138784,682.6,203.3,74.6,High,14.82
12,Kerala,235858,258538,99978,84550,184528,359.7,513.0,94.5,Very High,9.62
13,Madhya Pradesh,298578,297689,151757,131117,282874,879.5,321.6,83.7,Very High,-0.3
14,Maharashtra,374038,385623,218418,164626,383044,1276.8,300.0,75.6,Very High,3.1
15,Manipur,3029,19192,3081,1491,4572,32.6,140.2,10.4,Moderate,533.61
16,Meghalaya,2914,2730,1582,1651,3233,33.9,95.5,20.8,Low,-6.31
17,Mizoram,3587,3281,1347,1354,2701,12.5,215.7,67.7,High,-8.53
18,Nagaland,1008,1050,429,373,802,22.6,35.5,58.1,Low,4.17
19,Odisha,143414,170022,88671,82522,171193,466.6,366.9,75.1,Very High,18.55
20,Punjab,43738,44872,23697,23980,47677,309.9,153.8,68.7,Moderate,2.59
21,Rajasthan,236090,234985,131979,81373,213352,821.9,259.6,49.1,High,-0.47
22,Sikkim,549,511,308,199,507,7.0,72.7,39.9,Low,-6.92
23,Tamil Nadu,193913,203804,103608,93541,197149,771.7,255.5,74.4,High,5.1
24,Telangana,151849,156737,105022,85682,190704,383.2,497.7,73.8,Very High,3.22
25,Tripura,3653,3814,1801,1193,2994,41.9,71.4,74.3,Low,4.41
28,West Bengal,156503,156237,81509,76400,157909,997.2,158.3,90.6,Moderate,-0.17
29,A&N Islands,460,587,304,218,522,4.0,129.2,86.8,Moderate,27.61
