state_ut,crime_type,age_group,male,female,transgender,total,year,victim_type,female_pct
Karnataka,Murder,Below 6 Yrs,19,22,0,41,2024,Child,53.7
Karnataka,Murder,6-12 Yrs,9,19,0,28,2024,Child,67.9
Karnataka,Murder,12-16 Yrs,12,13,0,25,2024,Child,52.0
Karnataka,Murder,16-18 Yrs,10,9,0,19,2024,Child,47.4
Karnataka,Murder,Total Child,50,63,0,113,2024,Child,55.8
Karnataka,Murder,18-30 Yrs,297,116,1,414,2024,Adult,28.0
Karnataka,Murder,30-45 Yrs,330,131,1,462,2024,Adult,28.4
Karnataka,Murder,45-60 Yrs,185,64,0,249,2024,Adult,25.7
Karnataka,Murder,60+ Yrs,59,46,0,105,2024,Adult,43.8
Karnataka,Murder,Total Adult,871,357,2,1230,2024,Adult,29.0
Karnataka,Murder,Total Victims,921,420,2,1343,2024,Adult,31.3
