state_ut,crime_type,age_group,male,female,transgender,total,year
Andhra Pradesh,Murder,Below 6 Yrs,7,9,0,16,2024
Andhra Pradesh,Murder,6-12 Yrs,5,10,0,15,2024
Andhra Pradesh,Murder,12-16 Yrs,2,1,0,3,2024
Andhra Pradesh,Murder,16-18 Yrs,4,5,0,9,2024
Andhra Pradesh,Murder,Total Child,18,25,0,43,2024
Andhra Pradesh,Murder,18-30 Yrs,122,94,0,216,2024
Andhra Pradesh,Murder,30-45 Yrs,273,105,1,379,2024
Andhra Pradesh,Murder,45-60 Yrs,150,67,0,217,2024
Andhra Pradesh,Murder,60+ Yrs,33,29,0,62,2024
Andhra Pradesh,Murder,Total Adult,578,295,1,874,2024
Andhra Pradesh,Murder,Total Victims,596,320,1,917,2024
Arunachal Pradesh,Murder,Below 6 Yrs,0,1,0,1,2024
Arunachal Pradesh,Murder,6-12 Yrs,0,1,0,1,2024
Arunachal Pradesh,Murder,12-16 Yrs,0,2,0,2,2024
Arunachal Pradesh,Murder,16-18 Yrs,1,1,0,2,2024
Arunachal Pradesh,Murder,Total Child,1,5,0,6,2024
Arunachal Pradesh,Murder,18-30 Yrs,13,6,0,19,2024
Arunachal Pradesh,Murder,30-45 Yrs,6,6,0,12,2024
Arunachal Pradesh,Murder,45-60 Yrs,11,5,0,16,2024
Arunachal Pradesh,Murder,60+ Yrs,1,1,0,2,2024
Arunachal Pradesh,Murder,Total Adult,31,18,0,49,2024
Arunachal Pradesh,Murder,Total Victims,32,23,0,55,2024
Assam,Murder,Below 6 Yrs,5,3,0,8,2024
Assam,Murder,6-12 Yrs,5,5,0,10,2024
Assam,Murder,12-16 Yrs,10,16,0,26,2024
Assam,Murder,16-18 Yrs,4,8,0,12,2024
Assam,Murder,Total Child,24,32,0,56,2024
Assam,Murder,18-30 Yrs,229,90,0,319,2024
Assam,Murder,30-45 Yrs,385,107,0,492,2024
Assam,Murder,45-60 Yrs,69,17,0,86,2024
Assam,Murder,60+ Yrs,3,0,0,3,2024
Assam,Murder,Total Adult,686,214,0,900,2024
Assam,Murder,Total Victims,710,246,0,956,2024
Bihar,Murder,Below 6 Yrs,11,8,0,19,2024
Bihar,Murder,6-12 Yrs,21,15,0,36,2024
Bihar,Murder,12-16 Yrs,25,20,0,45,2024
Bihar,Murder,16-18 Yrs,20,11,0,31,2024
Bihar,Murder,Total Child,77,54,0,131,2024
Bihar,Murder,18-30 Yrs,800,298,0,1098,2024
Bihar,Murder,30-45 Yrs,759,299,0,1058,2024
Bihar,Murder,45-60 Yrs,362,104,0,466,2024
Bihar,Murder,60+ Yrs,77,8,0,85,2024
Bihar,Murder,Total Adult,1998,709,0,2707,2024
Bihar,Murder,Total Victims,2075,763,0,2838,2024
Chhattisgarh,Murder,Below 6 Yrs,15,6,0,21,2024
Chhattisgarh,Murder,6-12 Yrs,7,5,0,12,2024
Chhattisgarh,Murder,12-16 Yrs,5,5,0,10,2024
Chhattisgarh,Murder,16-18 Yrs,6,5,0,11,2024
Chhattisgarh,Murder,Total Child,33,21,0,54,2024
Chhattisgarh,Murder,18-30 Yrs,219,113,0,332,2024
Chhattisgarh,Murder,30-45 Yrs,246,129,1,376,2024
Chhattisgarh,Murder,45-60 Yrs,133,64,0,197,2024
Chhattisgarh,Murder,60+ Yrs,69,27,0,96,2024
Chhattisgarh,Murder,Total Adult,667,333,1,1001,2024
Chhattisgarh,Murder,Total Victims,700,354,1,1055,2024
Goa,Murder,Below 6 Yrs,1,1,0,2,2024
Goa,Murder,6-12 Yrs,1,0,0,1,2024
Goa,Murder,12-16 Yrs,0,0,0,0,2024
Goa,Murder,16-18 Yrs,0,0,0,0,2024
Goa,Murder,Total Child,2,1,0,3,2024
Goa,Murder,18-30 Yrs,8,1,0,9,2024
