state_ut,crime_type,year,cases_reported,child_below_6,child_6_to_12,child_12_to_16,child_16_to_18,total_child_victims,adult_18_to_30,adult_30_to_45,adult_45_to_60,adult_60_plus,total_adult_victims,total_victims
Arunachal Pradesh,Rape,2024,76,0,10,20,21,51,23,4,1,0,28,79
Assam,Rape,2024,927,0,2,11,4,17,577,309,48,0,934,951
Bihar,Rape,2024,1165,0,0,0,1,1,858,264,40,2,1164,1165
Chhattisgarh,Rape,2024,1171,0,0,0,0,0,750,356,57,8,1171,1171
Goa,Rape,2024,105,1,2,35,27,65,24,14,3,0,41,106
Gujarat,Rape,2024,661,0,0,1,5,6,437,198,17,5,657,663
Haryana,Rape,2024,1391,0,0,3,0,3,848,479,59,2,1388,1391
Himachal Pradesh,Rape,2024,324,5,16,74,99,194,79,49,3,0,131,325
Jharkhand,Rape,2024,1073,0,0,2,80,82,801,190,1,0,992,1074
Karnataka,Rape,2024,671,0,0,2,5,7,455,194,19,5,673,680
Kerala,Rape,2024,940,0,0,0,0,0,478,369,88,11,946,946
Madhya Pradesh,Rape,2024,3061,0,0,0,0,0,1916,1010,120,23,3069,3069
Maharashtra,Rape,2024,3091,0,5,0,10,15,2048,929,91,13,3081,3096
Manipur,Rape,2024,19,0,0,0,0,0,11,7,1,0,19,19
Meghalaya,Rape,2024,57,0,0,0,6,6,34,14,2,1,51,57
Mizoram,Rape,2024,20,0,0,0,0,0,14,4,2,0,20,20
Nagaland,Rape,2024,14,2,1,1,1,5,7,2,0,0,9,14
Odisha,Rape,2024,1268,0,0,0,0,0,1234,34,0,0,1268,1268
Punjab,Rape,2024,475,0,0,0,0,0,321,147,8,1,477,477
Rajasthan,Rape,2024,4871,0,0,0,0,0,3044,1576,266,2,4888,4888
Sikkim,Rape,2024,7,0,0,0,0,0,3,3,0,1,7,7
Tamil Nadu,Rape,2024,419,0,0,0,0,0,268,129,19,3,419,419
Telangana,Rape,2024,1148,0,0,0,0,0,714,415,26,4,1159,1159
Tripura,Rape,2024,64,0,0,0,0,0,35,28,1,0,64,64
Uttar Pradesh,Rape,2024,3209,7,11,68,192,278,2279,652,76,2,3009,3287
Uttarakhand,Rape,2024,305,0,0,0,0,0,240,52,13,0,305,305
West Bengal,Rape,2024,1118,0,0,0,0,0,734,341,43,0,1118,1118
A&N Islands,Rape,2024,7,0,0,0,0,0,4,3,0,0,7,7
Chandigarh,Rape,2024,96,0,4,30,13,47,35,14,0,0,49,96
D&N Haveli and Daman & Diu,Rape,2024,11,0,1,4,1,6,4,1,0,0,5,11
Delhi,Rape,2024,1058,0,0,0,0,0,686,370,31,2,1089,1089
Jammu & Kashmir,Rape,2024,261,0,0,1,8,9,197,49,6,0,252,261
Ladakh,Rape,2024,1,0,0,0,0,0,0,1,0,0,1,1
Lakshadweep,Rape,2024,2,0,0,0,0,0,2,0,0,0,2,2
Puducherry,Rape,2024,9,0,0,0,0,0,4,5,0,0,9,9
